date,store_id,sku_id,units_sold,prediction,stock_on_hand,on_order_units,reorder_point,safety_stock,lead_time_days,unit_price,cost_price,category,subcategory,brand,lead_time_demand,available_inventory,forecast_daily_demand,days_of_supply,stock_after_lead_time,stockout_units,safety_stock_gap,reorder_gap,stockout_risk,target_inventory_30d,excess_inventory_units,overstock_risk,risk_score,risk_level,recommended_action,stockout_value_at_stake,overstock_value_at_stake,value_at_stake,priority,risk_reason,recommended_markdown_units
2025-12-16,ST03,SKU01428,2,1.8413566,329.0,0.0,76.0,31.0,7.0,2772.39,2043.62,Apparel & Footwear,Men's Wear,BasicNeeds,1.8413566,329.0,1.8413566,178.67261561394463,327.1586434,0.0,0.0,0.0,False,55.240697999999995,273.759302,True,100.0,OVERSTOCK,MARKDOWN,0.0,559459.9847532399,559459.98,CRITICAL,Inventory exceeds the 30-day demand coverage target,274.0
2025-12-23,ST21,SKU00075,2,1.6706439,280.0,0.0,63.0,27.0,7.0,3697.58,2393.21,Electronics & Accessories,Batteries,TrueTaste,1.6706439,280.0,1.6706439,167.60004929835736,278.3293561,0.0,0.0,0.0,False,50.119316999999995,229.880683,True,100.0,OVERSTOCK,MARKDOWN,0.0,550152.7493624301,550152.75,CRITICAL,Inventory exceeds the 30-day demand coverage target,230.0
2025-12-08,ST12,SKU00024,2,1.7583555,369.0,0.0,70.0,27.0,7.0,2711.05,1671.96,Electronics & Accessories,Batteries,HealthFirst,1.7583555,369.0,1.7583555,209.85517433761262,367.2416445,0.0,0.0,0.0,False,52.750665,316.249335,True,100.0,OVERSTOCK,MARKDOWN,0.0,528756.2381466,528756.24,CRITICAL,Inventory exceeds the 30-day demand coverage target,316.0
2025-12-14,ST19,SKU04554,4,1.7627659,425.0,0.0,98.0,22.0,7.0,2001.13,1393.38,Home & Kitchen,Home Decor,UrbanBite,1.7627659,425.0,1.7627659,241.09837840634427,423.2372341,0.0,0.0,0.0,False,52.882977,372.117023,True,100.0,OVERSTOCK,MARKDOWN,0.0,518500.4175077401,518500.42,CRITICAL,Inventory exceeds the 30-day demand coverage target,372.0
2025-12-30,ST20,SKU03235,2,1.8880193,542.0,0.0,99.0,33.0,7.0,1648.55,1052.65,Apparel & Footwear,Footwear,HomeStyle,1.8880193,542.0,1.8880193,287.0733365914215,540.1119807,0.0,0.0,0.0,False,56.640579,485.359421,True,100.0,OVERSTOCK,MARKDOWN,0.0,510913.59451565007,510913.59,CRITICAL,Inventory exceeds the 30-day demand coverage target,485.0
2025-12-31,ST23,SKU02946,1,1.7634592,427.0,0.0,94.0,31.0,7.0,2029.87,1350.64,Apparel & Footwear,Women's Wear,ValueChoice,1.7634592,427.0,1.7634592,242.13772567009207,425.2365408,0.0,0.0,0.0,False,52.903776,374.096224,True,100.0,OVERSTOCK,MARKDOWN,0.0,505269.32398336,505269.32,CRITICAL,Inventory exceeds the 30-day demand coverage target,374.0
2025-12-17,ST28,SKU04236,1,2.155417,477.0,0.0,97.0,38.0,7.0,1751.93,1215.6,Electronics & Accessories,Small Appliances,ValueChoice,2.155417,477.0,2.155417,221.3028847782123,474.844583,0.0,0.0,0.0,False,64.66251,412.33749,True,100.0,OVERSTOCK,MARKDOWN,0.0,501237.45284399996,501237.45,CRITICAL,Inventory exceeds the 30-day demand coverage target,412.0
2025-12-15,ST01,SKU00075,3,1.8769375,261.0,0.0,95.0,24.0,7.0,3697.58,2393.21,Electronics & Accessories,Batteries,TrueTaste,1.8769375,261.0,1.8769375,139.05630848123607,259.1230625,0.0,0.0,0.0,False,56.308125,204.691875,True,100.0,OVERSTOCK,MARKDOWN,0.0,489870.64216875006,489870.64,CRITICAL,Inventory exceeds the 30-day demand coverage target,205.0
2025-12-11,ST06,SKU04849,1,2.026538,506.0,0.0,88.0,19.0,7.0,1457.98,1088.18,Electronics & Accessories,Batteries,SunriseFoods,2.026538,506.0,2.026538,249.68690446465845,503.973462,0.0,0.0,0.0,False,60.79614,445.20386,True,100.0,OVERSTOCK,MARKDOWN,0.0,484461.93637480005,484461.94,CRITICAL,Inventory exceeds the 30-day demand coverage target,445.0
2025-12-05,ST30,SKU00592,5,2.0590773,396.0,0.0,75.0,29.0,7.0,2203.73,1430.8,Apparel & Footwear,Kids Wear,UrbanBite,2.0590773,396.0,2.0590773,192.3191518841959,393.9409227,0.0,0.0,0.0,False,61.77231900000001,334.22768099999996,True,100.0,OVERSTOCK,MARKDOWN,0.0,478212.96597479994,478212.97,CRITICAL,Inventory exceeds the 30-day demand coverage target,334.0
2025-12-23,ST18,SKU03941,1,1.8412737,357.0,0.0,99.0,49.0,7.0,2059.71,1578.53,Electronics & Accessories,Batteries,CityFresh,1.8412737,357.0,1.8412737,193.88752470640298,355.1587263,0.0,0.0,0.0,False,55.238211,301.761789,True,100.0,OVERSTOCK,MARKDOWN,0.0,476340.03679017,476340.04,CRITICAL,Inventory exceeds the 30-day demand coverage target,302.0
2025-12-14,ST03,SKU04849,5,1.8143216,483.0,0.0,98.0,25.0,7.0,1457.98,1088.18,Electronics & Accessories,Batteries,SunriseFoods,1.8143216,483.0,1.8143216,266.21520682992474,481.1856784,0.0,0.0,0.0,False,54.429648,428.570352,True,100.0,OVERSTOCK,MARKDOWN,0.0,466361.68563936005,466361.69,CRITICAL,Inventory exceeds the 30-day demand coverage target,429.0
2025-12-19,ST27,SKU03634,1,1.9537216,385.0,0.0,65.0,27.0,7.0,2372.1,1426.85,Apparel & Footwear,Footwear,ZestyCo,1.9537216,385.0,1.9537216,197.05980626922485,383.0462784,0.0,0.0,0.0,False,58.611647999999995,326.388352,True,100.0,OVERSTOCK,MARKDOWN,0.0,465707.22005119995,465707.22,CRITICAL,Inventory exceeds the 30-day demand coverage target,326.0
2025-12-16,ST17,SKU02915,3,2.0123804,327.0,0.0,80.0,21.0,7.0,2288.75,1746.3,Electronics & Accessories,Small Appliances,ZestyCo,2.0123804,327.0,2.0123804,162.49412884363215,324.9876196,0.0,0.0,0.0,False,60.371412,266.628588,True,100.0,OVERSTOCK,MARKDOWN,0.0,465613.50322439993,465613.5,CRITICAL,Inventory exceeds the 30-day demand coverage target,267.0
2025-12-12,ST03,SKU02279,4,1.6727957,435.0,0.0,78.0,24.0,7.0,1825.01,1201.75,Apparel & Footwear,Footwear,SmartBuy,1.6727957,435.0,1.6727957,260.0437100597521,433.3272043,0.0,0.0,0.0,False,50.183870999999996,384.816129,True,100.0,OVERSTOCK,MARKDOWN,0.0,462452.78302574996,462452.78,CRITICAL,Inventory exceeds the 30-day demand coverage target,385.0
2025-12-27,ST03,SKU01534,1,1.7137358,279.0,0.0,99.0,27.0,7.0,2964.57,2016.22,Apparel & Footwear,Footwear,ZestyCo,1.7137358,279.0,1.7137358,162.80222424016583,277.2862642,0.0,0.0,0.0,False,51.412074000000004,227.58792599999998,True,100.0,OVERSTOCK,MARKDOWN,0.0,458867.32815972,458867.33,CRITICAL,Inventory exceeds the 30-day demand coverage target,228.0
2025-12-04,ST20,SKU01068,1,2.0029938,429.0,0.0,83.0,26.0,7.0,2201.06,1243.53,Electronics & Accessories,Mobile Accessories,PrimeCare,2.0029938,429.0,2.0029938,214.17939486382832,426.9970062,0.0,0.0,0.0,False,60.089814000000004,368.910186,True,100.0,OVERSTOCK,MARKDOWN,0.0,458750.88359658,458750.88,CRITICAL,Inventory exceeds the 30-day demand coverage target,369.0
2025-12-13,ST13,SKU00987,1,1.6654024,420.0,0.0,81.0,19.0,7.0,1614.69,1137.98,Electronics & Accessories,Mobile Accessories,TrueTaste,1.6654024,420.0,1.6654024,252.19130223422277,418.3345976,0.0,0.0,0.0,False,49.962072,370.037928,True,100.0,OVERSTOCK,MARKDOWN,0.0,421095.76130544004,421095.76,CRITICAL,Inventory exceeds the 30-day demand coverage target,370.0
2025-12-28,ST22,SKU03740,5,2.0841653,432.0,0.0,100.0,30.0,7.0,2021.49,1124.92,Apparel & Footwear,Men's Wear,SoftTouch,2.0841653,432.0,2.0841653,207.27722508382612,429.9158347,0.0,0.0,0.0,False,62.524959,369.475041,True,100.0,OVERSTOCK,MARKDOWN,0.0,415629.86312172,415629.86,CRITICAL,Inventory exceeds the 30-day demand coverage target,369.0
2025-12-26,ST19,SKU04152,1,2.1492825,585.0,0.0,99.0,48.0,7.0,1148.97,769.38,Health & Wellness,OTC Medicine,ValueChoice,2.1492825,585.0,2.1492825,272.18385670566806,582.8507175,0.0,0.0,0.0,False,64.478475,520.521525,True,100.0,OVERSTOCK,MARKDOWN,0.0,400478.8509045,400478.85,CRITICAL,Inventory exceeds the 30-day demand coverage target,521.0
2025-12-04,ST26,SKU04791,5,1.7976085,280.0,0.0,72.0,24.0,7.0,2688.04,1755.1,Electronics & Accessories,Batteries,CleanWave,1.7976085,280.0,1.7976085,155.76250334819846,278.2023915,0.0,0.0,0.0,False,53.928255,226.071745,True,100.0,OVERSTOCK,MARKDOWN,0.0,396778.51964949997,396778.52,CRITICAL,Inventory exceeds the 30-day demand coverage target,226.0
2025-12-02,ST28,SKU01174,1,1.8727895,326.0,0.0,94.0,33.0,7.0,1964.02,1462.83,Home & Kitchen,Home Decor,NovaFresh,1.8727895,326.0,1.8727895,174.07188581525045,324.1272105,0.0,0.0,0.0,False,56.183685000000004,269.816315,True,100.0,OVERSTOCK,MARKDOWN,0.0,394695.4000714499,394695.4,CRITICAL,Inventory exceeds the 30-day demand coverage target,270.0
2025-12-02,ST11,SKU00584,2,1.9037851,268.0,0.0,75.0,19.0,7.0,2331.51,1830.55,Apparel & Footwear,Women's Wear,PrimeCare,1.9037851,268.0,1.9037851,140.7721911469945,266.0962149,0.0,0.0,0.0,False,57.113552999999996,210.886447,True,100.0,OVERSTOCK,MARKDOWN,0.0,386038.18555585,386038.19,CRITICAL,Inventory exceeds the 30-day demand coverage target,211.0
2025-12-31,ST14,SKU01174,3,1.9279599,321.0,0.0,67.0,26.0,7.0,1964.02,1462.83,Home & Kitchen,Home Decor,NovaFresh,1.9279599,321.0,1.9279599,166.49723886892045,319.0720401,0.0,0.0,0.0,False,57.838797,263.161203,True,100.0,OVERSTOCK,MARKDOWN,0.0,384960.10258448997,384960.1,CRITICAL,Inventory exceeds the 30-day demand coverage target,263.0
2025-12-31,ST27,SKU00631,1,2.2345574,465.0,0.0,91.0,24.0,7.0,1304.33,954.88,Home & Kitchen,Cookware,CrispKing,2.2345574,465.0,2.2345574,208.0949005829969,462.76544260000003,0.0,0.0,0.0,False,67.036722,397.963278,True,100.0,OVERSTOCK,MARKDOWN,0.0,380007.17489664,380007.17,CRITICAL,Inventory exceeds the 30-day demand coverage target,398.0
2025-12-20,ST27,SKU01423,2,1.8259364,241.0,0.0,49.0,16.0,7.0,2866.27,2040.58,Electronics & Accessories,Mobile Accessories,BasicNeeds,1.8259364,241.0,1.8259364,131.98707249606284,239.1740636,0.0,0.0,0.0,False,54.778092,186.22190799999998,True,100.0,OVERSTOCK,MARKDOWN,0.0,380000.70102663996,380000.7,CRITICAL,Inventory exceeds the 30-day demand coverage target,186.0
2025-12-10,ST06,SKU02211,2,1.8853383,536.0,0.0,100.0,42.0,7.0,1230.59,779.6,Health & Wellness,Vitamins & Supplements,NovaFresh,1.8853383,536.0,1.8853383,284.29910960807405,534.1146617,0.0,0.0,0.0,False,56.560148999999996,479.439851,True,100.0,OVERSTOCK,MARKDOWN,0.0,373771.3078396,373771.31,CRITICAL,Inventory exceeds the 30-day demand coverage target,479.0
2025-12-14,ST28,SKU02421,3,1.8357234,285.0,0.0,51.0,16.0,7.0,2671.52,1612.38,Apparel & Footwear,Kids Wear,HomeStyle,1.8357234,285.0,1.8357234,155.25214746404606,283.1642766,0.0,0.0,0.0,False,55.071702,229.92829799999998,True,100.0,OVERSTOCK,MARKDOWN,0.0,370731.78912924,370731.79,CRITICAL,Inventory exceeds the 30-day demand coverage target,230.0
2025-12-30,ST29,SKU00170,4,1.5804212,444.0,0.0,86.0,29.0,7.0,1241.29,909.39,Apparel & Footwear,Men's Wear,ZestyCo,1.5804212,444.0,1.5804212,280.9377651982902,442.4195788,0.0,0.0,0.0,False,47.412636,396.587364,True,100.0,OVERSTOCK,MARKDOWN,0.0,360652.58294795995,360652.58,CRITICAL,Inventory exceeds the 30-day demand coverage target,397.0
2025-12-23,ST23,SKU03150,1,1.9562759,190.0,0.0,46.0,11.0,7.0,3570.59,2742.62,Apparel & Footwear,Women's Wear,ZestyCo,1.9562759,190.0,1.9562759,97.12331476352594,188.0437241,0.0,0.0,0.0,False,58.688277,131.311723,True,100.0,OVERSTOCK,MARKDOWN,0.0,360138.15773425996,360138.16,CRITICAL,Inventory exceeds the 30-day demand coverage target,131.0
2025-12-27,ST14,SKU02279,3,1.7844632,351.0,0.0,68.0,29.0,7.0,1825.01,1201.75,Apparel & Footwear,Footwear,SmartBuy,1.7844632,351.0,1.7844632,196.69780805790782,349.2155368,0.0,0.0,0.0,False,53.533896,297.466104,True,100.0,OVERSTOCK,MARKDOWN,0.0,357479.89048199996,357479.89,CRITICAL,Inventory exceeds the 30-day demand coverage target,297.0
2025-12-17,ST01,SKU01038,1,2.1831603,511.0,0.0,87.0,33.0,7.0,1338.59,802.08,Health & Wellness,OTC Medicine,NovaFresh,2.1831603,511.0,2.1831603,234.06435157326743,508.8168397,0.0,0.0,0.0,False,65.494809,445.50519099999997,True,100.0,OVERSTOCK,MARKDOWN,0.0,357330.80359728,357330.8,CRITICAL,Inventory exceeds the 30-day demand coverage target,446.0
2025-12-19,ST09,SKU00987,1,1.5984879,360.0,0.0,66.0,29.0,7.0,1614.69,1137.98,Electronics & Accessories,Mobile Accessories,TrueTaste,1.5984879,360.0,1.5984879,225.21284020980076,358.4015121,0.0,0.0,0.0,False,47.954637000000005,312.045363,True,100.0,OVERSTOCK,MARKDOWN,0.0,355101.38218674,355101.38,CRITICAL,Inventory exceeds the 30-day demand coverage target,312.0
2025-12-09,ST29,SKU03009,2,1.7506828,225.0,0.0,78.0,18.0,7.0,2815.76,2047.94,Electronics & Accessories,Small Appliances,NovaFresh,1.7506828,225.0,1.7506828,128.52128323874547,223.2493172,0.0,0.0,0.0,False,52.520484,172.479516,True,100.0,OVERSTOCK,MARKDOWN,0.0,353227.69999704,353227.7,CRITICAL,Inventory exceeds the 30-day demand coverage target,172.0
2025-12-25,ST26,SKU01830,2,2.3793073,463.0,0.0,86.0,28.0,7.0,1563.44,899.39,Apparel & Footwear,Women's Wear,SunriseFoods,2.3793073,463.0,2.3793073,194.59445192304503,460.6206927,0.0,0.0,0.0,False,71.37921899999999,391.620781,True,100.0,OVERSTOCK,MARKDOWN,0.0,352219.81422359,352219.81,CRITICAL,Inventory exceeds the 30-day demand coverage target,392.0
2025-12-15,ST01,SKU04849,1,1.8024857,375.0,0.0,64.0,28.0,7.0,1457.98,1088.18,Electronics & Accessories,Batteries,SunriseFoods,1.8024857,375.0,1.8024857,208.04603331943215,373.1975143,0.0,0.0,0.0,False,54.074571000000006,320.925429,True,100.0,OVERSTOCK,MARKDOWN,0.0,349224.63332922006,349224.63,CRITICAL,Inventory exceeds the 30-day demand coverage target,321.0
2025-12-13,ST07,SKU00446,1,1.9759558,240.0,0.0,96.0,24.0,7.0,2586.83,1928.61,Apparel & Footwear,Women's Wear,GoldenHarvest,1.9759558,240.0,1.9759558,121.46020675158827,238.0240442,0.0,0.0,0.0,False,59.278673999999995,180.721326,True,100.0,OVERSTOCK,MARKDOWN,0.0,348540.95653686,348540.96,CRITICAL,Inventory exceeds the 30-day demand coverage target,181.0
2025-12-05,ST14,SKU04554,1,1.6580926,299.0,0.0,78.0,22.0,7.0,2001.13,1393.38,Home & Kitchen,Home Decor,UrbanBite,1.6580926,299.0,1.6580926,180.32768495559296,297.3419074,0.0,0.0,0.0,False,49.742778,249.257222,True,100.0,OVERSTOCK,MARKDOWN,0.0,347310.02799036005,347310.03,CRITICAL,Inventory exceeds the 30-day demand coverage target,249.0
2025-12-23,ST29,SKU02279,4,1.771387,342.0,0.0,65.0,15.0,7.0,1825.01,1201.75,Apparel & Footwear,Footwear,SmartBuy,1.771387,342.0,1.771387,193.06904702360353,340.228613,0.0,0.0,0.0,False,53.14161,288.85839,True,100.0,OVERSTOCK,MARKDOWN,0.0,347135.5701825,347135.57,CRITICAL,Inventory exceeds the 30-day demand coverage target,289.0
2025-12-05,ST01,SKU00167,1,1.9029719,266.0,0.0,58.0,12.0,7.0,2596.95,1652.67,Electronics & Accessories,Batteries,ZestyCo,1.9029719,266.0,1.9029719,139.78135988240288,264.0970281,0.0,0.0,0.0,False,57.089157,208.910843,True,100.0,OVERSTOCK,MARKDOWN,0.0,345260.68290081003,345260.68,CRITICAL,Inventory exceeds the 30-day demand coverage target,209.0
2025-12-18,ST28,SKU04665,2,1.8534827,429.0,0.0,98.0,41.0,7.0,1605.02,920.86,Electronics & Accessories,Batteries,TrueTaste,1.8534827,429.0,1.8534827,231.45616627552013,427.1465173,0.0,0.0,0.0,False,55.604481,373.395519,True,100.0,OVERSTOCK,MARKDOWN,0.0,343844.99762633996,343845.0,CRITICAL,Inventory exceeds the 30-day demand coverage target,373.0
2025-12-04,ST19,SKU04236,2,1.7934291,334.0,0.0,100.0,20.0,7.0,1751.93,1215.6,Electronics & Accessories,Small Appliances,ValueChoice,1.7934291,334.0,1.7934291,186.2354079121388,332.2065709,0.0,0.0,0.0,False,53.802873,280.197127,True,100.0,OVERSTOCK,MARKDOWN,0.0,340607.6275812,340607.63,CRITICAL,Inventory exceeds the 30-day demand coverage target,280.0
2025-12-16,ST11,SKU04665,1,1.7437247,420.0,0.0,92.0,29.0,7.0,1605.02,920.86,Electronics & Accessories,Batteries,TrueTaste,1.7437247,420.0,1.7437247,240.86370973583158,418.2562753,0.0,0.0,0.0,False,52.311741,367.688259,True,100.0,OVERSTOCK,MARKDOWN,0.0,338589.41018274,338589.41,CRITICAL,Inventory exceeds the 30-day demand coverage target,368.0
2025-12-14,ST28,SKU00075,1,1.97313,200.0,0.0,62.0,27.0,7.0,3697.58,2393.21,Electronics & Accessories,Batteries,TrueTaste,1.97313,200.0,1.97313,101.36179572557307,198.02687,0.0,0.0,0.0,False,59.1939,140.80610000000001,True,100.0,OVERSTOCK,MARKDOWN,0.0,336978.56658100005,336978.57,CRITICAL,Inventory exceeds the 30-day demand coverage target,141.0
2025-12-25,ST04,SKU01766,2,1.7542846,535.0,0.0,99.0,45.0,7.0,1036.35,690.64,Frozen Foods,Ready Meals,DailyBest,1.7542846,535.0,1.7542846,304.9676204191726,533.2457154,0.0,0.0,0.0,False,52.628538000000006,482.371462,True,100.0,OVERSTOCK,MARKDOWN,0.0,333145.02651568,333145.03,CRITICAL,Inventory exceeds the 30-day demand coverage target,482.0
2025-12-05,ST18,SKU03975,1,1.910095,283.0,0.0,51.0,16.0,7.0,1906.33,1461.62,Apparel & Footwear,Men's Wear,DailyBest,1.910095,283.0,1.910095,148.16017004389832,281.089905,0.0,0.0,0.0,False,57.30285000000001,225.69715,True,100.0,OVERSTOCK,MARKDOWN,0.0,329883.46838299994,329883.47,CRITICAL,Inventory exceeds the 30-day demand coverage target,226.0
2025-12-16,ST18,SKU00449,1,1.7750391,391.0,0.0,69.0,34.0,7.0,1254.12,969.92,Health & Wellness,OTC Medicine,PremiumSelect,1.7750391,391.0,1.7750391,220.27683784543112,389.2249609,0.0,0.0,0.0,False,53.251173,337.748827,True,100.0,OVERSTOCK,MARKDOWN,0.0,327589.34228384,327589.34,CRITICAL,Inventory exceeds the 30-day demand coverage target,338.0
2025-12-12,ST22,SKU00516,2,1.9108319,284.0,0.0,94.0,23.0,7.0,2155.25,1441.14,Electronics & Accessories,Batteries,GoldenHarvest,1.9108319,284.0,1.9108319,148.62636530193996,282.0891681,0.0,0.0,0.0,False,57.324957,226.67504300000002,True,100.0,OVERSTOCK,MARKDOWN,0.0,326670.47146902006,326670.47,CRITICAL,Inventory exceeds the 30-day demand coverage target,227.0
2025-12-12,ST13,SKU01423,2,1.8206998,214.0,0.0,66.0,29.0,7.0,2866.27,2040.58,Electronics & Accessories,Mobile Accessories,BasicNeeds,1.8206998,214.0,1.8206998,117.5372238740291,212.1793002,0.0,0.0,0.0,False,54.620994,159.379006,True,100.0,OVERSTOCK,MARKDOWN,0.0,325225.61206348,325225.61,CRITICAL,Inventory exceeds the 30-day demand coverage target,159.0
2025-12-23,ST19,SKU02915,1,1.905823,239.0,0.0,78.0,35.0,7.0,2288.75,1746.3,Electronics & Accessories,Small Appliances,ZestyCo,1.905823,239.0,1.905823,125.40513993167257,237.094177,0.0,0.0,0.0,False,57.17469,181.82531,True,100.0,OVERSTOCK,MARKDOWN,0.0,317521.538853,317521.54,CRITICAL,Inventory exceeds the 30-day demand coverage target,182.0
2025-12-05,ST12,SKU00507,2,1.6549262,325.0,0.0,81.0,26.0,7.0,1588.92,1152.62,Apparel & Footwear,Footwear,HealthFirst,1.6549262,325.0,1.6549262,196.38337951263324,323.3450738,0.0,0.0,0.0,False,49.647786,275.352214,True,100.0,OVERSTOCK,MARKDOWN,0.0,317376.46890067996,317376.47,CRITICAL,Inventory exceeds the 30-day demand coverage target,275.0
2025-12-15,ST20,SKU01167,2,1.7948232,361.0,0.0,76.0,35.0,7.0,1837.34,1031.07,Electronics & Accessories,Small Appliances,UrbanBite,1.7948232,361.0,1.7948232,201.13401698841423,359.2051768,0.0,0.0,0.0,False,53.844696,307.155304,True,100.0,OVERSTOCK,MARKDOWN,0.0,316698.61929527996,316698.62,CRITICAL,Inventory exceeds the 30-day demand coverage target,307.0
2025-12-16,ST01,SKU00987,4,1.7277113,322.0,0.0,97.0,36.0,7.0,1614.69,1137.98,Electronics & Accessories,Mobile Accessories,TrueTaste,1.7277113,322.0,1.7277113,186.37373037960683,320.2722887,0.0,0.0,0.0,False,51.831339,270.168661,True,100.0,OVERSTOCK,MARKDOWN,0.0,307446.53284478,307446.53,CRITICAL,Inventory exceeds the 30-day demand coverage target,270.0
2025-12-21,ST26,SKU01081,3,1.8033621,233.0,0.0,79.0,32.0,7.0,2680.16,1703.0,Apparel & Footwear,Women's Wear,FamilyChoice,1.8033621,233.0,1.8033621,129.20311456029825,231.1966379,0.0,0.0,0.0,False,54.100863,178.899137,True,100.0,OVERSTOCK,MARKDOWN,0.0,304665.230311,304665.23,CRITICAL,Inventory exceeds the 30-day demand coverage target,179.0
2025-12-19,ST21,SKU04854,1,2.2123497,342.0,0.0,64.0,14.0,7.0,1401.83,1096.57,Electronics & Accessories,Batteries,SparkleClean,2.2123497,342.0,2.2123497,154.58677260651876,339.7876503,0.0,0.0,0.0,False,66.370491,275.629509,True,100.0,OVERSTOCK,MARKDOWN,0.0,302247.05068413,302247.05,CRITICAL,Inventory exceeds the 30-day demand coverage target,276.0
2025-12-08,ST18,SKU03983,1,2.0682344,212.0,0.0,86.0,32.0,7.0,2768.56,1998.72,Electronics & Accessories,Small Appliances,FamilyChoice,2.0682344,212.0,2.0682344,102.50288845403595,209.9317656,0.0,0.0,0.0,False,62.047032,149.952968,True,100.0,OVERSTOCK,MARKDOWN,0.0,299713.99620096,299714.0,CRITICAL,Inventory exceeds the 30-day demand coverage target,150.0
